cik,ticker,accession,form,filing_date,period_of_report,doc_type,exhibit_label,document,doc_url
0000773840,HON,0001193125-24-174346,8-K,2024-07-02,2024-07-02,primary,,d447517d8k.htm,https://www.sec.gov/Archives/edgar/data/773840/000119312524174346/d447517d8k.htm
0000773840,HON,0000773840-24-000069,8-K,2024-06-11,2024-06-07,primary,,hon-20240607.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000069/hon-20240607.htm
0000773840,HON,0000773840-24-000066,8-K,2024-06-03,2024-06-03,primary,,hon-20240603.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000066/hon-20240603.htm
0000773840,HON,0000773840-24-000066,8-K,2024-06-03,2024-06-03,exhibit,EX-99,exhibit99-carrieracquisiti.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000066/exhibit99-carrieracquisiti.htm
0000773840,HON,0000773840-24-000058,8-K,2024-05-16,2024-05-14,primary,,hon-20240514.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000058/hon-20240514.htm
0000773840,HON,0000773840-24-000045,8-K,2024-04-25,2024-04-25,primary,,hon-20240425.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000045/hon-20240425.htm
0000773840,HON,0000773840-24-000045,8-K,2024-04-25,2024-04-25,exhibit,EX-99,exhibit99-q12024earningsre.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000045/exhibit99-q12024earningsre.htm
0000773840,HON,0000773840-24-000051,10-Q,2024-04-25,2024-03-31,primary,,hon-20240331.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000051/hon-20240331.htm
0000773840,HON,0000773840-24-000054,8-K,2024-04-25,2024-04-25,primary,,hon-20240425_d2.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000054/hon-20240425_d2.htm
0000773840,HON,0000773840-24-000054,8-K,2024-04-25,2024-04-25,exhibit,EX-99.1,hon-20240425.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000054/hon-20240425.htm
0000773840,HON,0001193125-24-071322,8-K,2024-03-19,2024-03-18,primary,,d785317d8k.htm,https://www.sec.gov/Archives/edgar/data/773840/000119312524071322/d785317d8k.htm
0000773840,HON,0001193125-24-055985,8-K,2024-03-01,2024-03-01,primary,,d788022d8k.htm,https://www.sec.gov/Archives/edgar/data/773840/000119312524055985/d788022d8k.htm
0000773840,HON,0000773840-24-000006,8-K,2024-02-01,2024-01-30,primary,,hon-20240130.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000006/hon-20240130.htm
0000773840,HON,0000773840-24-000006,8-K,2024-02-01,2024-01-30,exhibit,EX-99.1,exhibit99-pressrelease2124.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000006/exhibit99-pressrelease2124.htm
0000773840,HON,0000773840-24-000007,8-K,2024-02-01,2024-02-01,primary,,hon-20240201.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000007/hon-20240201.htm
0000773840,HON,0000773840-24-000007,8-K,2024-02-01,2024-02-01,exhibit,EX-99.2,a992-ex99xq42023earningsre.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000007/a992-ex99xq42023earningsre.htm
0000773840,HON,0000773840-24-000007,8-K,2024-02-01,2024-02-01,exhibit,EX-99.3,a993-ex99xq42023earningsre.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000007/a993-ex99xq42023earningsre.htm
0000773840,HON,0000773840-24-000007,8-K,2024-02-01,2024-02-01,exhibit,EX-99.1,exhibit99-q42023earningsre.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000007/exhibit99-q42023earningsre.htm
